stock_code,time,开盘,成交量,成交额,振幅,换手率,收盘,最低,最高,涨跌幅,涨跌额,收盘_index,成交量_index,feat_rsi_14,feat_mfi_14,feat_macd_hist,feat_bias_5,feat_idx_bias_5,feat_bias_20,feat_idx_bias_20,feat_bias_60,feat_idx_bias_60,feat_atr_norm,feat_bb_pos,feat_obv_trend,feat_vol_ratio,diff_days,feat_log_time_gap,feat_log_ret,feat_log_ret_index,feat_excess_ret,feat_vol_20,label_1d,label_5d,label_vol
000032,2011-01-19,20.69,10905.0,9726060.0,1.79,0.47,21.04,20.69,21.06,1.69,0.35,2758.1,88787874.0,0.36485377409873476,0.4978688034422879,-0.006861758180196387,-0.0018975332068312811,-0.00016602877300386787,-0.058170505159023334,-0.016905546155466578,-0.11584874738235473,-0.04832524427618412,0.030564330371811683,0.19294037174940182,-0.13345178669418972,0.44491408731395315,1.0,0.6931471805599453,0.01677489611205737,0.017969856594259797,-0.0011949604822024257,0.0207295893713423,-0.03925873668985497,-0.02961678871360193,0.023662008184563262
000032,2011-01-20,21.04,15480.0,13568825.0,4.04,0.66,20.23,20.21,21.06,-3.85,-0.81,2677.65,96939735.0,0.3183601866659336,0.5162550318375646,-0.007905872901897365,-0.023648648648648574,-0.01865315812890811,-0.0853603399945746,-0.041713459923856555,-0.14789360253287187,-0.07409408509800308,0.032518733293192326,0.033474284960876156,-0.26826937421757696,0.6693923793912466,1.0,0.6931471805599453,-0.03925873668985497,-0.02960249269235065,-0.009656243997504317,0.021717341502279493,0.010327114155849524,0.015304919563958424,0.011827479528626004
000032,2011-01-21,20.21,10970.0,9476999.0,2.92,0.47,20.44,19.95,20.54,1.04,0.21,2715.29,110451978.0,0.3417790011857693,0.44817095485050795,-0.006919115946229999,-0.006609642301710683,0.0007201467123865157,-0.06819839533187444,-0.02540688506108324,-0.13686684918395076,-0.05930981154600734,0.031947517713085856,0.11400076002101078,-0.17426929527894236,0.5027175158328508,1.0,0.6931471805599453,0.010327114155849524,0.013959217498472962,-0.0036321033426234377,0.021907623481074775,-0.010327114155849628,0.009349503243539836,0.011538939681049552
000032,2011-01-24,20.44,12239.0,10532614.0,3.23,0.53,20.23,19.86,20.52,-1.03,-0.21,2695.72,97761295.0,0.32958457093320176,0.3682543462438084,-0.006377281233357285,-0.014420734677969338,-0.0056905783085248185,-0.07078223324606114,-0.029653534852320917,-0.14322620719836798,-0.06446194698772723,0.032303842972675564,0.10052488327318851,-0.12164803720367645,0.5966140361992013,3.0,1.3862943611198906,-0.010327114155849628,-0.0072334315882823805,-0.003093682567567248,0.02163450089280731,0.00836824967051658,0.02730545069026744,0.008151317933655344
000032,2011-01-25,20.28,11898.0,10217812.0,2.13,0.51,20.4,19.97,20.4,0.84,0.17,2677.43,79592282.0,0.34980878010301664,0.4427851495589158,-0.0047315765206875976,-0.0033222591362126463,-0.010132954358079815,-0.05690906569275589,-0.0334934413009248,-0.1331690320387524,-0.06911253770439074,0.03125205764490178,0.17602193746628841,-0.019499346618751544,0.6073382881408202,1.0,0.6931471805599453,0.00836824967051658,-0.006807950882562173,0.015176200553078752,0.021858524357872163,0.020859354422709846,0.02363993054665702,0.01018645039000427
000032,2011-01-26,20.4,13543.0,11972058.0,2.6,0.58,20.83,20.4,20.93,2.11,0.43,2708.81,67051842.0,0.39918024035412747,0.40578361745283,-0.0017448143387384782,0.019778713404484227,0.005131763501027731,-0.03329852651119625,-0.020882969596627166,-0.11242729616294189,-0.05672644053442688,0.030238137601769265,0.3098285555038854,0.09307165430300335,0.7199185619698648,1.0,0.6931471805599453,0.020859354422709846,0.011652044854346295,0.009207309568363551,0.021890077143914034,-0.0009606148673375429,0.002972055301172004,0.004901737658836214
000032,2011-01-27,20.65,15332.0,13615763.0,2.3,0.66,20.81,20.5,20.98,-0.1,-0.02,2749.15,117284234.0,0.3976677192819001,0.3714265914042341,0.00045179352856225633,0.01304644143705569,0.01471608693084514,-0.031957947620598226,-0.0065919453059151145,-0.11061407945066937,-0.04098219832399064,0.029752815546039334,0.32001749185313944,0.15008739180893632,0.8575303773923081,1.0,0.6931471805599453,-0.0009606148673375429,0.014782348929439967,-0.01574296379677751,0.02096181960289537,0.0038369351629313725,0.009850411977695686,0.012998320666707126
000032,2011-01-28,20.75,17900.0,15910413.0,1.39,0.77,20.89,20.71,21.0,0.38,0.08,2752.75,91330388.0,0.40734117896650984,0.47273759470417,0.0023965443726176646,0.012504846839860528,0.013242922114921729,-0.02538023700662506,-0.005313007065882114,-0.10502752608015764,-0.038089534520131085,0.028513400771626958,0.356940667327015,0.13450245766717733,1.0195189465344787,1.0,0.6931471805599453,0.0038369351629313725,0.0013086390206150295,0.002528296142316343,0.020620337994305845,0.006203789880330666,0.013031049473410765,0.013013653935453855
000032,2011-01-31,20.89,19616.0,17532298.0,1.39,0.84,21.02,20.75,21.04,0.62,0.13,2790.69,98398465.0,0.4235425218437808,0.5693612273388291,0.004209527018095014,0.011063011063010997,0.020076278453639684,-0.015502786754718723,0.008713272396572824,-0.09757650779567384,-0.02346527309063362,0.027298437704059847,0.4090494030806246,0.12235804405016294,1.1329330872939887,3.0,1.3862943611198906,0.006203789880330666,0.013688465073138803,-0.007484675192808136,0.01978936172602376,-0.006203789880330582,0.015108880424802216,0.013217250166159353
000032,2011-02-01,21.02,12656.0,11278920.0,1.86,0.54,20.89,20.77,21.16,-0.62,-0.13,2798.96,78654505.0,0.4114302078961224,0.5681157321402063,0.005107296266979922,9.574875526618953e-05,0.014089487520615451,-0.017172430016466844,0.01268515732934583,-0.10084793182111651,-0.018923640919051743,0.026839810869901504,0.392667483483642,0.014724014508540684,0.7575086488617273,1.0,0.6931471805599453,-0.006203789880330582,0.00295904252834999,-0.009162832408680571,0.019666797936982124,-0.001916627323663977,0.029619218603243035,0.013026409806696723
000032,2011-02-09,20.81,18513.0,16594700.0,1.87,0.8,20.85,20.75,21.14,-0.19,-0.04,2774.06,95661046.0,0.40756803652278767,0.489206243707357,0.005600731592113709,-0.0020103388856977933,0.00033824692891237795,-0.014557141506758464,0.004849179892004729,-0.09998705017338372,-0.025628221748498325,0.02630656881787993,0.4009031167840796,0.037501682924738454,1.1329449347018268,8.0,2.1972245773362196,-0.001916627323663977,-0.008935968538319268,0.007019341214655291,0.01965838011558296,0.027437861240675158,0.04464776046135624,0.012747509611865084
000032,2011-02-10,20.89,22841.0,20778028.0,2.78,0.98,21.43,20.89,21.47,2.78,0.58,2818.16,106859974.0,0.48330719340208494,0.5950958910208991,0.007491354671758836,0.01969927674153027,0.011208055906799075,0.01636234289779459,0.02093522935866221,-0.07231445206813703,-0.008156377195930653,0.02583292939832795,0.6282699838622283,0.028857404840337112,1.41036050916391,1.0,0.6931471805599453,0.027437861240675158,0.015772238646589654,0.011665622594085504,0.02084380764024055,0.009289430479481746,0.026977652265447537,0.009951671049170009
000032,2011-02-11,21.39,20322.0,18779148.0,2.33,0.87,21.63,21.22,21.72,0.93,0.2,2827.33,116818537.0,0.5067255950937821,0.6923788698568949,0.009177242747229914,0.022018522018522058,0.009097593010307437,0.02897102897102899,0.02447009246149401,-0.06114358469818859,-0.0031299429643215637,0.025417065587082042,0.7796715188271833,0.015036416811227055,1.272678310860368,1.0,0.6931471805599453,0.009289430479481746,0.003248613695046755,0.00604081678443499,0.021016635218703027,0.012405396857487731,0.02149636855873987,0.01672442614692466
000032,2011-02-14,21.63,40930.0,38381616.0,2.31,1.76,21.9,21.57,22.07,1.25,0.27,2899.13,171236743.0,0.5372198489352208,0.7701084082613435,0.010724057166000753,0.026241799437675795,0.026775721721194357,0.04191445834720975,0.04844794891875304,-0.046727751539817786,0.023486051111992312,0.02494137205620222,0.9070622132333295,0.20547245660809213,2.430421538295658,3.0,1.3862943611198906,0.012405396857487731,0.025077888567056693,-0.012672491709568962,0.018973210016737744,-0.00549451931764059,0.0143261131820435,0.01785536120384212
